order_id,customer_id,order_amount,currency,created_at,status
ord_00032,cust_0209,7999.00,INR,2025-06-09T13:50:30+05:30,paid
ord_00033,cust_0240,799.00,INR,2025-06-10T17:27:26+05:30,paid
ord_00034,cust_0373,868.02,INR,2025-06-10T09:03:25+05:30,paid
ord_00035,cust_0072,799.00,INR,2025-06-10T12:34:28+05:30,paid
ord_00036,cust_0282,1499.00,INR,2025-06-10T08:28:51+05:30,paid
ord_00037,cust_0122,4999.00,INR,2025-06-10T08:59:48+05:30,paid
ord_00038,cust_0085,3499.00,INR,2025-06-10T18:57:03+05:30,paid
ord_00039,cust_0357,2499.00,INR,2025-06-10T20:18:27+05:30,paid
ord_00040,cust_0152,8514.14,INR,2025-06-10T21:09:12+05:30,paid
ord_00041,cust_0030,499.00,INR,2025-06-10T07:47:20+05:30,paid
ord_00042,cust_0261,3499.00,INR,2025-06-10T22:10:03+05:30,paid
ord_00043,cust_0121,999.00,INR,2025-06-10T08:43:55+05:30,paid
ord_00044,cust_0215,7999.00,INR,2025-06-10T07:39:05+05:30,paid
ord_00045,cust_0367,7999.00,INR,2025-06-10T14:13:42+05:30,paid
ord_00046,cust_0385,1499.00,INR,2025-06-10T15:29:20+05:30,paid
ord_00047,cust_0110,397.67,INR,2025-06-10T09:04:34+05:30,paid
ord_00048,cust_0190,999.00,INR,2025-06-10T08:56:15+05:30,paid
ord_00049,cust_0335,3499.00,INR,2025-06-10T15:39:51+05:30,paid
ord_00050,cust_0136,4999.00,INR,2025-06-10T09:56:08+05:30,paid
ord_00051,cust_0310,799.00,INR,2025-06-10T10:17:18+05:30,paid
ord_00052,cust_0129,1999.00,INR,2025-06-10T14:32:31+05:30,paid
ord_00053,cust_0023,832.66,INR,2025-06-10T19:53:17+05:30,paid
ord_00054,cust_0227,999.00,INR,2025-06-10T14:10:47+05:30,paid
ord_00055,cust_0354,2499.00,INR,2025-06-10T09:04:56+05:30,paid
ord_00056,cust_0076,6020.92,INR,2025-06-10T17:37:35+05:30,paid
ord_00057,cust_0108,499.00,INR,2025-06-10T07:57:22+05:30,paid
ord_00058,cust_0080,799.00,INR,2025-06-10T19:39:47+05:30,paid
ord_00059,cust_0013,2782.37,INR,2025-06-10T11:56:26+05:30,paid
ord_00060,cust_0377,1999.00,INR,2025-06-10T19:51:42+05:30,paid
ord_00061,cust_0020,3097.66,INR,2025-06-10T09:24:55+05:30,paid
ord_00062,cust_0117,2632.38,INR,2025-06-10T20:22:19+05:30,paid
ord_00063,cust_0396,1299.00,INR,2025-06-10T14:55:04+05:30,paid
ord_00064,cust_0134,4999.00,INR,2025-06-10T16:01:07+05:30,paid
ord_00065,cust_0161,1499.00,INR,2025-06-10T19:22:46+05:30,paid
ord_00066,cust_0363,4999.00,INR,2025-06-10T12:16:02+05:30,paid
ord_00067,cust_0036,4999.00,INR,2025-06-10T12:23:27+05:30,paid
ord_00068,cust_0154,3762.39,INR,2025-06-10T09:46:57+05:30,paid
ord_00069,cust_0099,2499.00,INR,2025-06-10T15:35:08+05:30,paid
ord_00070,cust_0155,2499.00,INR,2025-06-10T11:39:36+05:30,paid
ord_00071,cust_0297,499.00,INR,2025-06-10T12:27:50+05:30,paid
ord_00072,cust_0262,1999.00,INR,2025-06-10T20:43:13+05:30,paid
ord_00073,cust_0340,8646.92,INR,2025-06-11T08:18:32+05:30,paid
ord_00074,cust_0116,1999.00,INR,2025-06-11T13:43:19+05:30,paid
ord_00075,cust_0394,1845.11,INR,2025-06-11T13:30:39+05:30,paid
ord_00076,cust_0197,2499.00,INR,2025-06-11T12:45:44+05:30,failed
ord_00077,cust_0395,999.00,INR,2025-06-12T06:57:48+05:30,paid
ord_00078,cust_0266,8462.32,INR,2025-06-12T11:51:44+05:30,paid
ord_00079,cust_0238,4999.00,INR,2025-06-12T09:29:08+05:30,paid
ord_00080,cust_0369,4999.00,INR,2025-06-12T20:39:52+05:30,paid
ord_00081,cust_0244,4999.00,INR,2025-06-13T11:47:55+05:30,paid
ord_00082,cust_0267,1299.00,INR,2025-06-13T14:49:49+05:30,paid
ord_00083,cust_0121,1299.00,INR,2025-06-13T08:45:18+05:30,paid
ord_00084,cust_0119,1999.00,INR,2025-06-13T08:08:09+05:30,failed
ord_00085,cust_0239,1299.00,INR,2025-06-14T19:21:34+05:30,paid
ord_00086,cust_0300,1299.00,INR,2025-06-14T18:57:49+05:30,paid
ord_00087,cust_0181,504.80,INR,2025-06-14T18:30:00+05:30,paid
ord_00088,cust_0377,2499.00,INR,2025-06-14T19:34:47+05:30,paid
ord_00089,cust_0015,2612.51,INR,2025-06-15T14:27:31+05:30,paid
ord_00090,cust_0319,2499.00,INR,2025-06-15T20:58:08+05:30,paid
ord_00091,cust_0220,2499.00,INR,2025-06-15T06:05:41+05:30,paid
ord_00092,cust_0109,3499.00,INR,2025-06-15T14:24:20+05:30,paid
ord_00093,cust_0042,2499.00,INR,2025-06-16T19:16:53+05:30,paid
ord_00094,cust_0036,4999.00,INR,2025-06-16T17:14:41+05:30,paid
ord_00095,cust_0011,7134.14,INR,2025-06-16T06:15:12+05:30,paid
ord_00096,cust_0239,1299.00,INR,2025-06-16T09:36:13+05:30,paid
ord_00097,cust_0084,1999.00,INR,2025-06-17T09:49:52+05:30,paid
ord_00098,cust_0193,1433.49,INR,2025-06-17T15:36:43+05:30,paid
ord_00099,cust_0396,1299.00,INR,2025-06-17T13:06:44+05:30,paid
ord_00100,cust_0220,7999.00,INR,2025-06-17T07:22:34+05:30,paid
ord_00101,cust_0216,799.00,INR,2025-06-17T16:00:54+05:30,paid
ord_00102,cust_0223,1999.00,INR,2025-06-18T20:45:09+05:30,paid
ord_00103,cust_0276,4999.00,INR,2025-06-18T14:39:51+05:30,pending
ord_00104,cust_0126,5174.55,INR,2025-06-18T14:20:54+05:30,paid
ord_00105,cust_0238,1208.72,INR,2025-06-18T20:15:48+05:30,paid
ord_00106,cust_0094,2499.00,INR,2025-06-19T21:54:20+05:30,paid
ord_00107,cust_0306,1999.00,INR,2025-06-19T16:17:56+05:30,paid
ord_00108,cust_0124,3196.88,INR,2025-06-19T22:12:05+05:30,paid
ord_00109,cust_0331,5423.11,INR,2025-06-19T13:44:30+05:30,paid
ord_00110,cust_0009,1499.00,INR,2025-06-20T21:28:50+05:30,paid
ord_00111,cust_0208,1499.00,INR,2025-06-20T08:18:14+05:30,paid
ord_00112,cust_0382,7999.00,INR,2025-06-21T22:22:27+05:30,paid
ord_00113,cust_0119,1999.00,INR,2025-06-21T14:19:16+05:30,paid
ord_00114,cust_0379,1299.00,INR,2025-06-21T11:12:13+05:30,paid
ord_00115,cust_0052,7999.00,INR,2025-06-21T22:38:18+05:30,pending
ord_00116,cust_0363,3406.36,INR,2025-06-21T11:19:00+05:30,paid
ord_00117,cust_0327,499.00,INR,2025-06-22T15:44:08+05:30,pending
ord_00118,cust_0241,5447.23,INR,2025-06-22T06:36:18+05:30,paid
ord_00119,cust_0245,1999.00,INR,2025-06-22T07:16:55+05:30,paid
ord_00120,cust_0352,799.00,INR,2025-06-22T08:36:40+05:30,paid
ord_00121,cust_0286,7999.00,INR,2025-06-23T08:15:07+05:30,failed
ord_00122,cust_0195,6657.70,INR,2025-06-23T13:49:33+05:30,paid
ord_00123,cust_0318,3417.97,INR,2025-06-24T19:19:36+05:30,paid
ord_00124,cust_0136,799.00,INR,2025-06-24T12:40:13+05:30,failed
ord_00125,cust_0210,999.00,INR,2025-06-24T08:10:00+05:30,paid
ord_00126,cust_0362,7999.00,INR,2025-06-24T07:14:18+05:30,paid
ord_00127,cust_0321,5060.86,INR,2025-06-25T13:59:16+05:30,paid
ord_00128,cust_0137,1299.00,INR,2025-06-25T13:41:09+05:30,paid
ord_00129,cust_0292,1048.78,INR,2025-06-25T15:38:47+05:30,paid
ord_00130,cust_0277,3499.00,INR,2025-06-26T18:17:32+05:30,paid
ord_00131,cust_0310,799.00,INR,2025-06-26T19:47:20+05:30,paid
ord_00132,cust_0138,799.00,INR,2025-06-26T06:48:43+05:30,paid
ord_00133,cust_0093,999.00,INR,2025-06-27T20:58:17+05:30,paid
ord_00134,cust_0179,4870.58,INR,2025-06-27T21:05:30+05:30,paid
ord_00135,cust_0356,1999.00,INR,2025-06-27T11:21:26+05:30,paid
ord_00136,cust_0162,2499.00,INR,2025-06-27T07:29:05+05:30,paid
ord_00137,cust_0278,2499.00,INR,2025-06-28T06:42:55+05:30,paid
ord_00138,cust_0256,499.00,INR,2025-06-28T17:39:48+05:30,paid
ord_00139,cust_0225,499.00,INR,2025-06-28T10:59:18+05:30,paid
ord_00140,cust_0160,499.00,INR,2025-06-29T13:45:10+05:30,pending
ord_00141,cust_0059,4999.00,INR,2025-06-29T13:53:58+05:30,paid
ord_00142,cust_0367,799.00,INR,2025-06-29T10:31:59+05:30,paid
ord_00143,cust_0234,1499.00,INR,2025-06-29T21:30:15+05:30,paid
ord_00144,cust_0070,2499.00,INR,2025-06-29T22:47:56+05:30,paid
ord_00145,cust_0002,2499.00,INR,2025-06-30T22:17:52+05:30,paid
ord_00146,cust_0229,1499.00,INR,2025-06-30T21:55:09+05:30,paid
