settlement_id,payment_id,order_id,type,gross_amount,fee,gst_on_fee,net_amount,settled_at,utr,status
stl_00010,pay_00062,ord_00065,payment,1499.00,29.98,5.40,1463.62,2025-06-12T14:00:00+05:30,RZPX69096899,processed
stl_00010,pay_00063,ord_00066,payment,4999.00,99.98,18.00,4881.02,2025-06-12T14:00:00+05:30,RZPX69096899,processed
stl_00010,pay_00064,ord_00067,payment,4999.00,99.98,18.00,4881.02,2025-06-12T14:00:00+05:30,RZPX69096899,processed
stl_00010,pay_00065,ord_00068,payment,3762.39,75.25,13.55,3673.59,2025-06-12T14:00:00+05:30,RZPX69096899,processed
stl_00010,pay_00066,ord_00069,payment,2499.00,49.98,9.00,2440.02,2025-06-12T14:00:00+05:30,RZPX69096899,processed
stl_00010,pay_00067,ord_00070,payment,2499.00,49.98,9.00,2440.02,2025-06-12T14:00:00+05:30,RZPX69096899,processed
stl_00010,pay_00068,ord_00071,payment,499.00,9.98,1.80,487.22,2025-06-12T14:00:00+05:30,RZPX69096899,processed
stl_00010,pay_00069,ord_00072,payment,1999.00,39.98,7.20,1951.82,2025-06-12T14:00:00+05:30,RZPX69096899,processed
stl_00011,pay_00070,ord_00073,payment,8646.92,172.94,31.13,8442.85,2025-06-13T14:00:00+05:30,RZPX12059919,processed
stl_00011,pay_00071,ord_00074,payment,1999.00,39.98,7.20,1951.82,2025-06-13T14:00:00+05:30,RZPX12059919,processed
stl_00011,pay_00072,ord_00075,payment,1845.11,36.90,6.64,1801.57,2025-06-13T14:00:00+05:30,RZPX12059919,processed
stl_00032,cb_0001,ord_00073,chargeback,-8646.92,0.00,0.00,-8646.92,2025-06-16T14:00:00+05:30,RZPX63124147,processed
stl_00012,pay_00073,ord_00077,payment,999.00,19.98,3.60,975.42,2025-06-17T14:00:00+05:30,RZPX97883261,processed
stl_00012,pay_00074,ord_00078,payment,8462.32,169.25,30.47,8262.60,2025-06-17T14:00:00+05:30,RZPX97883261,processed
stl_00012,pay_00075,ord_00079,payment,4999.00,99.98,18.00,4881.02,2025-06-17T14:00:00+05:30,RZPX97883261,processed
stl_00012,pay_00076,ord_00080,payment,4999.00,99.98,18.00,4881.02,2025-06-17T14:00:00+05:30,RZPX97883261,processed
stl_00013,pay_00077,ord_00081,payment,4999.00,99.98,18.00,4881.02,2025-06-18T14:00:00+05:30,RZPX45570755,processed
stl_00013,pay_00078,ord_00082,payment,1299.00,25.98,4.68,1268.34,2025-06-18T14:00:00+05:30,RZPX45570755,processed
stl_00013,pay_00079,ord_00083,payment,1299.00,25.98,4.68,1268.34,2025-06-18T14:00:00+05:30,RZPX45570755,processed
stl_00014,pay_00080,ord_00085,payment,1299.00,25.98,4.68,1268.34,2025-06-18T14:00:00+05:30,RZPX97219599,processed
stl_00014,pay_00081,ord_00086,payment,1299.00,25.98,4.68,1268.34,2025-06-18T14:00:00+05:30,RZPX97219599,processed
stl_00014,pay_00082,ord_00087,payment,504.80,10.10,1.82,492.88,2025-06-18T14:00:00+05:30,RZPX97219599,processed
stl_00014,pay_00083,ord_00088,payment,2499.00,49.98,9.00,2440.02,2025-06-18T14:00:00+05:30,RZPX97219599,processed
stl_00015,pay_00084,ord_00089,payment,2612.51,52.25,9.41,2550.85,2025-06-18T14:00:00+05:30,RZPX81621574,processed
stl_00015,pay_00085,ord_00090,payment,2499.00,49.98,9.00,2440.02,,,on_hold
stl_00015,pay_00086,ord_00091,payment,2499.00,49.98,9.00,2440.02,2025-06-18T14:00:00+05:30,RZPX81621574,processed
stl_00015,pay_00087,ord_00092,payment,3499.00,69.98,12.60,3416.42,2025-06-18T14:00:00+05:30,RZPX81621574,processed
stl_00016,pay_00088,ord_00093,payment,2499.00,49.98,9.00,2440.02,2025-06-18T14:00:00+05:30,RZPX75491202,processed
stl_00016,pay_00089,ord_00094,payment,4999.00,99.98,18.00,4881.02,2025-06-18T14:00:00+05:30,RZPX75491202,processed
stl_00016,pay_00090,ord_00095,payment,7134.14,142.68,25.68,6965.78,2025-06-18T14:00:00+05:30,RZPX75491202,processed
stl_00016,pay_00091,ord_00096,payment,1299.00,25.98,4.68,1268.34,2025-06-18T14:00:00+05:30,RZPX75491202,processed
stl_00017,pay_00092,ord_00097,payment,1999.00,39.98,7.20,1951.82,2025-06-19T14:00:00+05:30,RZPX19183277,processed
stl_00017,pay_00093,ord_00098,payment,1433.49,28.67,5.16,1399.66,2025-06-19T14:00:00+05:30,RZPX19183277,processed
stl_00017,pay_00094,ord_00099,payment,1299.00,25.98,4.68,1268.34,2025-06-19T14:00:00+05:30,RZPX19183277,processed
stl_00017,pay_00095,ord_00100,payment,7999.00,159.98,28.80,7810.22,2025-06-19T14:00:00+05:30,RZPX19183277,processed
stl_00017,pay_00096,ord_00101,payment,799.00,15.98,2.88,780.14,2025-06-19T14:00:00+05:30,RZPX19183277,processed
stl_00018,pay_00097,ord_00102,payment,1999.00,39.98,7.20,1951.82,2025-06-20T14:00:00+05:30,RZPX48571356,processed
stl_00018,pay_00098,ord_00104,payment,5174.55,103.49,18.63,5052.43,2025-06-20T14:00:00+05:30,RZPX48571356,processed
stl_00018,pay_00099,ord_00105,payment,1208.72,24.17,4.35,1180.20,2025-06-20T14:00:00+05:30,RZPX48571356,processed
stl_00019,pay_00100,ord_00106,payment,2499.00,49.98,9.00,2440.02,2025-06-23T14:00:00+05:30,RZPX68246664,processed
stl_00019,pay_00101,ord_00107,payment,1999.00,39.98,7.20,1951.82,2025-06-23T14:00:00+05:30,RZPX68246664,processed
stl_00019,pay_00102,ord_00108,payment,3196.88,63.94,11.51,3121.43,2025-06-23T14:00:00+05:30,RZPX68246664,processed
stl_00019,pay_00103,ord_00109,payment,5423.11,108.46,19.52,5295.13,2025-06-23T14:00:00+05:30,RZPX68246664,processed
stl_00020,pay_00104,ord_00110,payment,1499.00,29.98,5.40,1463.62,2025-06-24T14:00:00+05:30,RZPX23489853,processed
stl_00021,pay_00105,ord_00111,payment,1499.00,29.98,5.40,1463.62,2025-06-24T14:00:00+05:30,RZPX13885234,processed
stl_00022,pay_00106,ord_00112,payment,7999.00,159.98,28.80,7810.22,2025-06-24T14:00:00+05:30,RZPX49375156,processed
stl_00022,pay_00107,ord_00113,payment,1999.00,39.98,7.20,1951.82,2025-06-24T14:00:00+05:30,RZPX49375156,processed
stl_00022,pay_00108,ord_00114,payment,1299.00,25.98,4.68,1268.34,2025-06-24T14:00:00+05:30,RZPX49375156,processed
stl_00022,pay_00109,ord_00116,payment,3406.36,68.13,12.26,3325.97,2025-06-24T14:00:00+05:30,RZPX49375156,processed
stl_00023,pay_00110,ord_00118,payment,5447.23,108.94,19.61,5318.68,2025-06-24T14:00:00+05:30,RZPX42775624,processed
stl_00023,pay_00111,ord_00119,payment,1999.00,39.98,7.20,1951.82,2025-06-24T14:00:00+05:30,RZPX42775624,processed
stl_00023,pay_00112,ord_00120,payment,799.00,15.98,2.88,780.14,2025-06-24T14:00:00+05:30,RZPX42775624,processed
stl_00024,pay_00113,ord_00122,payment,6657.70,133.15,23.97,6500.58,2025-06-25T14:00:00+05:30,RZPX34166826,processed
stl_00025,pay_00114,ord_00123,payment,3417.97,68.36,12.30,3337.31,2025-06-26T14:00:00+05:30,RZPX61344226,processed
stl_00025,pay_00115,ord_00125,payment,999.00,19.98,3.60,975.42,2025-06-26T14:00:00+05:30,RZPX61344226,processed
stl_00025,pay_00116,ord_00126,payment,7999.00,159.98,28.80,7810.22,2025-06-26T14:00:00+05:30,RZPX61344226,processed
stl_00025,rfnd_0004,ord_00034,refund,-434.01,0.00,0.00,-434.01,2025-06-26T14:00:00+05:30,RZPX61344226,processed
stl_00033,cbrev_0001,ord_00073,chargeback_reversal,8646.92,0.00,0.00,8646.92,2025-06-26T14:00:00+05:30,RZPX46840133,processed
stl_00026,pay_00117,ord_00127,payment,5060.86,101.22,18.22,4941.42,2025-06-27T14:00:00+05:30,RZPX88270025,processed
stl_00026,pay_00118,ord_00128,payment,1299.00,25.98,4.68,1268.34,2025-06-27T14:00:00+05:30,RZPX88270025,processed
stl_00026,pay_00119,ord_00129,payment,1048.78,20.98,3.78,1024.02,2025-06-27T14:00:00+05:30,RZPX88270025,processed
stl_00026,rfnd_0003,ord_00015,refund,-3499.00,0.00,0.00,-3499.00,2025-06-27T14:00:00+05:30,RZPX88270025,processed
stl_00027,pay_00120,ord_00130,payment,3499.00,69.98,12.60,3416.42,2025-06-30T14:00:00+05:30,RZPX44088261,processed
stl_00027,pay_00121,ord_00131,payment,799.00,15.98,2.88,780.14,2025-06-30T14:00:00+05:30,RZPX44088261,processed
stl_00027,pay_00122,ord_00132,payment,799.00,15.98,2.88,780.14,2025-06-30T14:00:00+05:30,RZPX44088261,processed
stl_00027,rfnd_0001,ord_00053,refund,-832.66,0.00,0.00,-832.66,2025-06-30T14:00:00+05:30,RZPX44088261,processed
stl_00028,pay_00123,ord_00133,payment,999.00,19.98,3.60,975.42,2025-07-01T14:00:00+05:30,RZPX72445234,processed
stl_00028,pay_00124,ord_00134,payment,4870.58,97.41,17.53,4755.64,2025-07-01T14:00:00+05:30,RZPX72445234,processed
stl_00028,pay_00125,ord_00135,payment,1999.00,39.98,7.20,1951.82,2025-07-01T14:00:00+05:30,RZPX72445234,processed
stl_00028,pay_00126,ord_00136,payment,2499.00,49.98,9.00,2440.02,2025-07-01T14:00:00+05:30,RZPX72445234,processed
stl_00029,pay_00127,ord_00137,payment,2499.00,49.98,9.00,2440.02,2025-07-01T14:00:00+05:30,RZPX31203129,processed
stl_00029,pay_00128,ord_00138,payment,499.00,9.98,1.80,487.22,2025-07-01T14:00:00+05:30,RZPX31203129,processed
stl_00029,pay_00129,ord_00139,payment,499.00,9.98,1.80,487.22,2025-07-01T14:00:00+05:30,RZPX31203129,processed
stl_00029,adj_0001,,adjustment,-75.00,0.00,0.00,-75.00,2025-07-01T14:00:00+05:30,RZPX31203129,processed
stl_00030,pay_00130,ord_00141,payment,4999.00,99.98,18.00,4881.02,2025-07-01T14:00:00+05:30,RZPX88862539,processed
stl_00030,pay_00131,ord_00142,payment,799.00,15.98,2.88,780.14,2025-07-01T14:00:00+05:30,RZPX88862539,processed
stl_00030,pay_00132,ord_00143,payment,1499.00,29.98,5.40,1463.62,2025-07-01T14:00:00+05:30,RZPX88862539,processed
stl_00030,pay_00133,ord_00144,payment,2499.00,49.98,9.00,2440.02,2025-07-01T14:00:00+05:30,RZPX88862539,processed
stl_00030,rfnd_0002,ord_00065,refund,-1499.00,0.00,0.00,-1499.00,2025-07-01T14:00:00+05:30,RZPX88862539,processed
stl_00031,pay_00134,ord_00145,payment,2499.00,49.98,9.00,2440.02,2025-07-02T14:00:00+05:30,RZPX43567615,processed
stl_00031,pay_00135,ord_00146,payment,1499.00,29.98,5.40,1463.62,2025-07-02T14:00:00+05:30,RZPX43567615,processed
